752295;Sharks
507167;Beginners
2909216;Beginners
4713212;Beginners
4775764;Hipot
2920150;Beginners
3959752;Sharks
4348464;Hipot
829123;Hipot
4150436;Hipot
4153220;Beginners
2822644;Beginners
60700;Beginners
2553524;Sharks
2416392;Hipot
879530;Sharks
42206;Sharks
1329707;Beginners
892066;Hipot
2312688;Sharks
2688626;Beginners
4717628;Hipot
999355;Sharks
1032545;Hipot
3385804;Beginners
136206;Beginners
916834;Hipot
2467510;Sharks
427353;Hipot
514495;Sharks
1534567;Beginners
3712959;Beginners
3554523;Hipot
2439128;Beginners
2804344;Sharks
1387925;Hipot
912772;Sharks
470647;Sharks
4057404;Hipot
474658;Beginners
1633774;Hipot
445364;Sharks
821241;Sharks
2906836;Beginners
2355750;Hipot
147364;Beginners
2406336;Sharks
1450883;Sharks
1295843;Hipot
697667;Sharks
843477;Beginners
490095;Sharks
2806504;Beginners
2862818;Beginners
819503;Beginners
1078025;Sharks
986083;Hipot
882916;Sharks
901178;Hipot
2741514;Beginners
1332475;Sharks
725731;Sharks
2267754;Beginners
2817268;Hipot
1952088;Sharks
313735;Beginners
3211788;Hipot
3433416;Beginners
744851;Beginners
685487;Sharks
83151;Beginners
4203608;Beginners
2947182;Beginners
206605;Sharks
2736060;Sharks
2535690;Beginners
1450159;Hipot
2207850;Hipot
