2019-04-16;882916;58770344;401;price<=>price<br>price<=>856000<br>m<=>7028<br>location<=>
2019-04-16;2403486;58770472;102;price<=>price<br>price<=>3500<br>m<=>73<br>building_type<=><br>windows_type<=><br>build_year<=>2008
2019-04-16;2088446;58774492;101;price<=>price<br>price<=>230000<br>m<=>85.77<br>building_type<=>tenement<br>windows_type<=>plastic<br>build_year<=>
2019-04-16;642904;58782884;102;price<=>price<br>price<=>3000<br>m<=>50<br>building_type<=>apartment<br>windows_type<=>plastic<br>build_year<=>2015
2019-04-17;2297140;58788704;101;price<=>price<br>price<=>365000<br>m<=>28.17<br>building_type<=>apartment<br>windows_type<=>plastic<br>build_year<=>2018
2019-04-03;2721852;58586284;101;price<=>price<br>price<=>269000<br>m<=>35.61<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>
2019-04-04;3923367;58591736;101;price<=>price<br>price<=>324698<br>m<=>46.7<br>building_type<=><br>windows_type<=><br>build_year<=>2019
2019-04-04;77328;58597004;201;price<=>price<br>price<=>219000<br>m<=>71<br>building_type<=>detached<br>build_year<=>1963<br>windows_type<=>plastic<br>location<=>city
2019-04-08;2736150;58639492;102;price<=>price<br>price<=>23000<br>m<=>165<br>building_type<=><br>windows_type<=><br>build_year<=>2014
2019-04-08;514495;58640692;101;price<=>price<br>price<=>399000<br>m<=>58.2<br>building_type<=>block<br>windows_type<=><br>build_year<=>2015
2019-04-08;2467510;58641800;102;price<=>price<br>price<=>2200<br>m<=>45<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>2016
2019-04-08;2297140;58652148;101;price<=>price<br>price<=>320000<br>m<=>35<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>1960
2019-04-09;2403486;58664064;101;price<=>price<br>price<=>799000<br>m<=>74.3<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>2007
2019-04-09;60700;58666324;401;price<=>price<br>price<=>6127000<br>m<=>27850<br>location<=>
2019-04-10;1649380;58684424;101;price<=>price<br>price<=>369000<br>m<=>57<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>1992
2019-04-11;2406336;58696060;101;price<=>price<br>price<=>2500000<br>m<=>188<br>building_type<=>apartment<br>windows_type<=>wooden<br>build_year<=>2011
2019-04-13;23432;58739268;102;price<=>price<br>price<=>800<br>m<=>21<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>
2019-04-14;2435764;58744808;102;price<=>price<br>price<=>920<br>m<=>90<br>building_type<=><br>windows_type<=><br>build_year<=>
2019-04-14;445364;58750520;101;price<=>price<br>price<=>265000<br>m<=>43.43<br>building_type<=>apartment<br>windows_type<=><br>build_year<=>2018
2019-04-16;2467510;58775596;102;price<=>price<br>price<=>4000<br>m<=>88<br>building_type<=>apartment<br>windows_type<=>wooden<br>build_year<=>2010
2019-04-02;3385804;58550496;502;price<=>price<br>price<=>620<br>m<=>27<br>building_type<=><br>build_year<=>
2019-04-03;1952088;58570832;102;price<=>price<br>price<=>2380<br>m<=>31.7<br>building_type<=>tenement<br>windows_type<=><br>build_year<=>
2019-04-05;3521044;58610772;201;price<=>price<br>price<=>499000<br>m<=>105.14<br>building_type<=>semi_detached<br>build_year<=>2018<br>windows_type<=>plastic<br>location<=>
2019-04-08;2028454;58650488;201;price<=>price<br>price<=>649000<br>m<=>132<br>building_type<=>detached<br>build_year<=>2018<br>windows_type<=>plastic<br>location<=>suburban
2019-04-09;514495;58656768;101;price<=>price<br>price<=>185000<br>m<=>35.38<br>building_type<=>tenement<br>windows_type<=><br>build_year<=>1930
2019-04-09;1341833;58659644;101;price<=>price<br>price<=>850000<br>m<=>64<br>building_type<=>tenement<br>windows_type<=><br>build_year<=>1916
2019-04-09;821241;58670716;102;price<=>price<br>price<=>5300<br>m<=>110<br>building_type<=><br>windows_type<=><br>build_year<=>
