1;For Sale
2;For Rent
11;Investments
21;Projects
101;Apartments for Sale
102;Apartments for Rent
201;Houses for Sale
202;Houses for Rent
302;Rooms for Rent
401;Plots for Sale
402;Plots for Rent
501;Offices for Sale
502;Offices for Rent
601;Warehouses for Sale
602;Warehouses for Rent
701;Garages for Sale
702;Garages for Rent
